latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel
28.9629,12977.8691,26.0596,26.7002,29.1758,34.27498132,26784.1602,8611.1622
29.583,13007.4521,25.998,26.7364,30.0332,33.29648522,26814.1934,8641.1954
29.0752,13036.5273,26.3896,27.0781,29.3203,34.10606303,26843.5137,8670.5157
29.3311,13065.8584,26.0752,27.1582,29.2539,34.18347639,26872.7676,8699.7696
29.9658,13095.8242,26.0869,27.0351,30.0156,33.31600901,26902.7832,8729.7852
29.2061,13125.0303,25.9053,27.0254,29.1367,34.32097664,26931.9199,8758.9219
29.1406,13154.1709,26.0508,26.997,29.1953,34.25208852,26961.1152,8788.1172
29.5947,13183.7656,26.8662,26.8017,29.7559,33.6067805,26990.8711,8817.8731
29.0039,13212.7695,26.2354,26.792,29.3535,34.06748769,27020.2246,8847.2266
29.4688,13242.2383,26.0224,27.292,29.0977,34.36697746,27049.3223,8876.3243
30.4756,13272.7139,26.4785,27.126,29.7324,33.63334275,27079.0547,8906.0567
29.2802,13301.9941,26.1484,27.0957,29.5215,33.87361753,27108.5762,8935.5782
29.3282,13331.3223,26.001,27.2178,29.457,33.9477883,27138.0332,8965.0352
29.8593,13361.1816,26.3975,26.9287,30.0996,33.22303286,27168.1328,8995.1348
28.9971,13390.1787,26.0459,26.9883,29.082,34.38553057,27197.2148,9024.2168
28.7442,13418.9229,26.0147,26.6025,29.2071,34.23825029,27226.4219,9053.4239
30.8593,13449.7822,26.5908,27.3604,29.7715,33.58917085,27256.1934,9083.1954
29.3321,13479.1143,26.1582,27.3027,29.1445,34.31179125,27285.3379,9112.3399
29.1035,13508.2178,26.0449,27.0019,29.4941,33.9050861,27314.832,9141.834
29.914,13538.1318,26.3017,26.9082,30.2305,33.07917501,27345.0625,9172.0645
28.8291,13566.9609,26.3789,26.8789,29.166,34.28649798,27374.2285,9201.2305
29.0811,13596.042,26.2539,26.8701,29.2578,34.17891981,27403.4863,9230.4883
30.6777,13626.7197,26.1054,27.1954,29.9395,33.40069139,27433.4258,9260.4278
29.4131,13656.1328,26.4863,27.2724,28.9121,34.58759481,27462.3379,9289.3399
29.3799,13685.5127,26.2588,27.2236,29.7832,33.57597572,27492.1211,9319.1231
29.9561,13715.4688,26.1093,27.1026,30.6855,32.58868195,27522.8066,9349.8086
