timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:10.220, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 19:35:10.225, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:11.034, Tesla T4, 0, 100 %, 287 MiB, 75.47 W
2024/01/07 19:35:11.040, Tesla T4, 1, 97 %, 285 MiB, 71.47 W
2024/01/07 19:35:11.047, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:35:11.051, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:11.862, Tesla T4, 0, 100 %, 287 MiB, 75.66 W
2024/01/07 19:35:11.867, Tesla T4, 1, 98 %, 285 MiB, 71.67 W
2024/01/07 19:35:11.873, Tesla T4, 2, 0 %, 9 MiB, 35.05 W
2024/01/07 19:35:11.877, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
