latency,time,GPU1,GPU2
28.3457,25810.1934,25.5098,26.8809
28.1054,25838.2988,25.4941,26.5312
27.9336,25866.2324,25.379,26.3476
27.7871,25894.0195,25.2852,26.2382
29.0313,25923.0508,25.1836,27.0156
28.5605,25951.6113,25.0371,26.9941
28.4297,25980.041,25.0703,26.8183
28.3848,26008.4258,25.625,26.7774
28.2812,26036.707,25.5312,26.7266
28.0118,26064.7188,25.3808,26.4883
28.4335,26093.1523,25.3106,26.9532
28.5235,26121.6758,25.3164,27.0566
28.4961,26150.1719,25.2793,26.9141
28.2656,26178.4375,25.0527,26.7754
28.2969,26206.7344,25.0625,26.7109
28.4785,26235.2129,25.6054,26.5371
27.8789,26263.0918,25.5508,26.3594
28.459,26291.5508,25.418,26.9004
28.5351,26320.0859,25.25,26.9804
28.4512,26348.5371,25.2539,26.8945
28.4336,26376.9707,25.1387,26.8359
28.7891,26405.7598,25.0352,26.7891
28.0507,26433.8105,25.0372,26.4668
28.5333,26462.3438,25.1075,26.9942
28.5898,26490.9336,25.1446,27.0234
28.3184,26519.252,25.1465,26.8614
28.3906,26547.6426,25.0449,26.8047
28.3984,26576.041,25.0899,26.7715
28.1152,26604.1562,25.1054,26.5313
28.5899,26632.7461,25.4688,27.0019
28.4844,26661.2305,25.6211,26.9472
28.5254,26689.7559,25.6055,26.9551
28.2285,26717.9844,25.4961,26.707
29.4551,26747.4395,25.3672,26.7988
27.9765,26775.416,25.2872,26.4531
28.4766,26803.8926,25.3027,26.8945
28.5566,26832.4492,25.2207,27.0274
28.3535,26860.8027,25.5839,26.8066
28.2793,26889.082,25.5567,26.7793
