latency,time,GPU1,GPU2,fps,time_rel,,
27.9375,17913.541,25.5039,26.4668,35.79418345,14577.0371,,
28.0625,17941.6035,25.375,26.5664,35.63474388,14605.0996,,
28.0488,17969.6523,25.3301,26.5703,35.65214911,14633.1484,,
27.9571,17997.6094,25.8125,26.4707,35.76908907,14661.1055,,
28.3496,18025.959,25.6191,26.8711,35.2738663,14689.4551,,
28.1699,18054.1289,25.6328,26.6426,35.49888356,14717.625,,
28.2734,18082.4023,25.666,26.8067,35.36893334,14745.8984,,
28.2832,18110.6855,25.4199,26.7851,35.35667817,14774.1816,,
28.0196,18138.7051,25.4199,26.5449,35.6893032,14802.2012,,
28.1347,18166.8398,25.4121,26.6426,35.54329707,14830.3359,,
28.0508,18194.8906,25.3809,26.582,35.64960714,14858.3867,,
29.418,18224.3086,25.7597,26.4981,33.99279353,14887.8047,,
27.9746,18252.2832,25.6328,26.498,35.74671309,14915.7793,,
28.0469,18280.3301,25.6309,26.5645,35.65456432,14943.8262,,
28.0449,18308.375,25.5332,26.6074,35.657107,14971.8711,,
28.0195,18336.3945,25.3925,26.4942,35.68943058,14999.8906,,
28.2285,18364.623,25.418,26.6933,35.42519085,15028.1191,,
28.0879,18392.7109,25.4063,26.5586,35.60251923,15056.207,,
27.9414,18420.6523,25.3555,26.4141,35.78918737,15084.1484,,
27.9668,18448.6191,25.8594,26.5019,35.75668292,15112.1152,,
28.3594,18476.9785,25.5664,26.8145,35.2616769,15140.4746,,
28.2403,18505.2188,25.666,26.8028,35.4103887,15168.7149,,
28.7011,18533.9199,25.5547,26.7129,34.84187017,15197.416,,
28.1074,18562.0273,25.4765,26.6309,35.57781936,15225.5234,,
28.0704,18590.0977,25.7792,26.5411,35.624715,15253.5938,,
28.0546,18618.1523,25.6543,26.582,35.6447784,15281.6484,,
28.0098,18646.1621,25.6797,26.4902,35.70179009,15309.6582,,
27.918,18674.0801,25.5898,26.3965,35.81918476,15337.5762,,
28.3984,18702.4785,25.295,26.8652,35.21325145,15365.9746,,
28.2949,18730.7734,25.4727,26.8105,35.34205811,15394.2695,,
28.2012,18758.9746,25.7636,26.7421,35.45948399,15422.4707,,
28.1367,18787.1113,25.6485,26.6524,35.54077059,15450.6074,,
28.0821,18815.1934,25.7187,26.541,35.60987248,15478.6895,,
27.955,18843.1484,25.6582,26.4746,35.77177607,15506.6445,,
28.0293,18871.1777,25.3613,26.5059,35.67695233,15534.6738,,
28.0352,18899.2129,25.6289,26.5293,35.66944413,15562.709,,
28.4629,18927.6758,25.6817,26.9922,35.13345443,15591.1719,,
28.1465,18955.8223,25.6523,26.6738,35.52839607,15619.3184,,
28.2519,18984.0742,25.9473,26.795,35.39584948,15647.5703,,
28.1035,19012.1777,25.6484,26.5879,35.5827566,15675.6738,,
28.0118,19040.1895,25.6211,26.4883,35.69924103,15703.6856,,
28.0332,19068.2227,25.627,26.5391,35.67198893,15731.7188,,
28.0742,19096.2969,25.4824,26.545,35.619893,15759.793,,
27.9551,19124.252,25.8672,26.4649,35.77164811,15787.7481,,
28.4882,19152.7402,25.709,27.002,35.10225286,15816.2363,,
28.2735,19181.0137,25.6738,26.7852,35.36880825,15844.5098,,
28.1504,19209.1641,25.5606,26.6289,35.52347391,15872.6602,,
28.3339,19237.498,25.3379,26.836,35.29341178,15900.9941,,
27.9649,19265.4629,25.5918,26.4941,35.75911232,15928.959,,
27.9785,19293.4414,25.6758,26.5215,35.74173026,15956.9375,,
28.0156,19321.457,25.6543,26.5157,35.69439883,15984.9531,,
28.1035,19349.5605,25.4922,26.6465,35.5827566,16013.0566,,
28.0235,19377.584,25.3789,26.4921,35.68433636,16041.0801,,
28.0117,19405.5957,25.7031,26.5,35.69936848,16069.0918,,
