latency,time,GPU1,GPU2
28.3984,19274.2285,25.3594,26.7598
28.4238,19302.6523,25.3536,26.6992
28.2403,19330.8926,25.3047,26.6172
28.2519,19359.1445,25.2168,26.6367
28.127,19387.2715,25.2559,26.4512
28.4004,19415.6719,25.0957,26.7012
28.8965,19444.5684,25.1679,27.2773
28.9433,19473.5117,25.0176,27.2949
28.8086,19502.3203,24.9218,27.1211
28.7598,19531.0801,24.8301,27.0976
28.7519,19559.832,24.7735,27.1114
28.4532,19588.2852,25.2051,26.7363
28.9765,19617.2617,25.1699,27.3457
28.9551,19646.2168,25.1055,27.2403
28.8027,19675.0195,24.8458,27.1035
28.793,19703.8125,24.9277,27.1289
28.7285,19732.541,24.9121,27.1172
28.5098,19761.0508,24.7285,26.832
29.0078,19790.0586,24.6914,27.3339
28.9687,19819.0273,24.6426,27.2812
28.7461,19847.7734,24.7265,27.1074
28.7989,19876.5723,24.6934,27.166
28.6757,19905.248,24.6914,27.0996
28.4043,19933.6523,24.6289,26.7793
29,19962.6523,24.6817,27.2989
29.3946,19992.0469,25.2949,27.2793
28.582,20020.6289,25.6504,26.7988
28.2578,20048.8867,25.3848,26.6133
28.2188,20077.1055,25.2988,26.6543
27.9238,20105.0293,25.3046,26.3028
28.4746,20133.5039,25.1856,26.8847
28.6484,20162.1523,25.6445,26.9297
28.375,20190.5273,25.6172,26.6465
29.2305,20219.7578,25.4825,26.8047
28.2813,20248.0391,25.4023,26.6563
28.1074,20276.1465,25.2774,26.4551
28.6289,20304.7754,25.1875,26.873
28.6601,20333.4355,25.6015,27.0078
28.4024,20361.8379,25.6074,26.7793
28.2598,20390.0977,25.4961,26.6367
28.375,20418.4727,25.2871,26.7325
28.0527,20446.5254,25.3907,26.4922
27.9746,20474.5,25.2519,26.4043
28.4316,20502.9316,25.3184,26.8262
28.543,20531.4746,25.1347,26.9063
28.334,20559.8086,25.5664,26.6953
28.3476,20588.1562,25.5976,26.7168
28.4239,20616.5801,25.4785,26.6719
27.5937,20644.1738,26.1445,25.9434
27.9434,20672.1172,26.0019,26.3653
27.8437,20699.9609,26.0019,26.2793
27.9707,20727.9316,25.9258,26.2911
27.9161,20755.8477,25.8614,26.1582
27.8671,20783.7148,26.3047,26.168
27.629,20811.3438,26.127,25.9961
28.0078,20839.3516,25.9844,25.7148
27.3593,20866.7109,25.9531,25.6816
28.1543,20894.8652,25.7735,26.4043
28.668,20923.5332,26.2832,26.4453
27.9121,20951.4453,25.9492,26.1661
27.9473,20979.3926,26.0488,26.1992
27.791,21007.1836,26.0137,26.1152
27.6133,21034.7969,25.7832,25.998
28.3125,21063.1094,26.2598,25.8243
27.957,21091.0664,26.0117,26.3301
27.9043,21118.9707,26.084,26.3066
27.8242,21146.7949,26.0586,26.2246
27.6856,21174.4805,25.9551,26.0293
27.9297,21202.4102,26.3126,26.1679
28.0156,21230.4258,26.6113,25.3359
