latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
16.0293,15670.4072,13.1777,12.5235,12.6406,13.8604,62.38575608,2261.7597,,15.9829,7775.6807,13.0751,12.4556,12.6983,14.0493,62.56686834,2216.9073
16.0733,15686.4805,13.2012,12.6308,12.6826,13.9599,62.21497763,2277.833,,16.1953,7791.876,13.0029,12.437,12.751,14.0786,61.74630911,2233.1026
15.9843,15702.4648,13.1758,12.5918,12.6934,13.8847,62.56138836,2293.8173,,15.8896,7807.7656,13.0162,12.4326,12.7632,14.0264,62.9342463,2248.9922
16.0127,15718.4775,13.1143,12.5918,12.7812,13.8135,62.45042997,2309.83,,15.8535,7823.6191,13.0205,12.4428,12.7325,13.8882,63.07755385,2264.8457
15.9073,15734.3848,13.1172,12.5478,12.8076,13.9169,62.86421957,2325.7373,,15.8086,7839.4277,13.145,12.4844,12.6724,13.8858,63.25670837,2280.6543
17.7617,15752.1465,13.086,12.6153,12.6787,14.1738,56.30091714,2343.499,,15.771,7855.1987,13.1729,12.5274,12.6988,13.8662,63.40752013,2296.4253
16.1806,15768.3271,13.0391,12.5312,12.7979,14.1084,61.80240535,2359.6796,,15.7613,7870.96,13.0639,12.477,12.7036,13.8813,63.44654312,2312.1866
16.1495,15784.4766,13.0508,12.5088,12.7441,14.1738,61.92142172,2375.8291,,18.2495,7889.2095,13.0913,12.5689,12.6622,14.2026,54.79602181,2330.4361
16.9804,15801.457,13.1113,12.5977,12.7216,14.1064,58.89142776,2392.8095,,16.1509,7905.3604,13.0234,12.4306,12.8238,14.1421,61.91605421,2346.587
17.3301,15818.7871,13.1807,12.5078,12.7041,14.0606,57.70307153,2410.1396,,16.4697,7921.8301,13.0225,12.4882,12.7754,14.1665,60.71756013,2363.0567
16.5606,15835.3477,13.1943,12.5175,12.7207,13.9306,60.38428559,2426.7002,,17.4692,7939.2993,13.1065,12.4165,12.7783,14.1865,57.24360589,2380.5259
16.1796,15851.5273,13.1563,12.5371,12.7217,14.0889,61.80622512,2442.8798,,15.9829,7955.2822,13.0903,12.4917,12.7276,14.0903,62.56686834,2396.5088
16.1602,15867.6875,13.0937,12.6084,12.6739,14.1005,61.88042227,2459.04,,16.105,7971.3872,13.1054,12.497,12.7348,14.0786,62.09251785,2412.6138
16.2139,15883.9014,13.0547,12.5264,12.754,14.1181,61.67547598,2475.2539,,15.9917,7987.3789,13.0665,12.4873,12.795,14.0957,62.5324387,2428.6055
17.1777,15901.0791,13.0293,12.5703,12.7812,13.9561,58.21501132,2492.4316,,16.7056,8004.0845,13.1157,12.4741,12.7876,14.0703,59.86016665,2445.3111
17.4258,15918.5049,13.1865,12.5449,12.7471,13.92,57.38617452,2509.8574,,15.9575,8020.042,13.0596,12.4433,12.7364,14.041,62.66645778,2461.2686
17.1494,15935.6543,13.1338,12.5254,12.6895,13.9345,58.31107794,2527.0068,,15.9341,8035.9761,13.0884,12.5025,12.7554,14.0303,62.75848652,2477.2027
16.1836,15951.8379,13.0683,12.5567,12.6758,13.8604,61.79094886,2543.1904,,15.9077,8051.8838,13.1094,12.457,12.7539,13.8662,62.86263885,2493.1104
15.9883,15967.8262,13.1328,12.542,12.7667,13.8965,62.54573657,2559.1787,,15.8501,8067.7339,13.1596,12.5322,12.6704,13.873,63.0910846,2508.9605
15.8252,15983.6514,13.0069,12.5635,12.6758,13.8701,63.19035462,2575.0039,,15.7671,8083.501,13.0844,12.4927,12.6963,13.8755,63.42320401,2524.7276
15.7832,15999.4346,13.1162,12.5801,12.8076,13.7383,63.35850778,2590.7871,,15.9253,8099.4263,13.1221,12.4917,12.7099,13.8604,62.79316559,2540.6529
15.8564,16015.291,13.0712,12.4952,12.7939,13.8398,63.06601751,2606.6435,,15.9052,8115.3315,13.0644,12.4585,12.7363,13.8232,62.87251968,2556.5581
16.041,16031.332,13.083,12.5634,12.8243,13.8701,62.3402531,2622.6845,,15.9136,8131.2451,13.0757,12.5444,12.7377,13.9229,62.83933239,2572.4717
15.958,16047.29,13.1455,12.6309,12.7324,13.9404,62.6644943,2638.6425,,16.9448,8148.1899,13.0351,12.5,12.7075,13.8941,59.01515509,2589.4165
16.002,16063.292,13.123,12.584,12.8204,13.916,62.49218848,2654.6445,,15.7745,8163.9644,13.0713,12.4517,12.728,13.8906,63.39345146,2605.191
